x,y,weight,family
0.6656380471380471,0.9932104377104377,0.00898663,Scaled Levy
0.6656380471380471,3.613789562289562,0.00898663,Scaled Levy
0.9932104377104377,0.6656380471380471,0.00898663,Scaled Levy
0.9932104377104377,3.941361952861953,0.00898663,Scaled Levy
3.613789562289562,0.6656380471380471,0.00898663,Scaled Levy
3.613789562289562,3.941361952861953,0.00898663,Scaled Levy
3.941361952861953,0.9932104377104377,0.00898663,Scaled Levy
3.941361952861953,3.613789562289562,0.00898663,Scaled Levy
0.6656380471380471,1.9759276094276095,0.07207934,Scaled Levy
0.6656380471380471,2.6310723905723905,0.07207934,Scaled Levy
1.9759276094276095,0.6656380471380471,0.07207934,Scaled Levy
1.9759276094276095,3.941361952861953,0.07207934,Scaled Levy
2.6310723905723905,0.6656380471380471,0.07207934,Scaled Levy
2.6310723905723905,3.941361952861953,0.07207934,Scaled Levy
3.941361952861953,1.9759276094276095,0.07207934,Scaled Levy
3.941361952861953,2.6310723905723905,0.07207934,Scaled Levy
0.7420716049382716,0.9822913580246914,0.00840237,Scaled Levy
0.7420716049382716,3.6247086419753085,0.00840237,Scaled Levy
0.9822913580246914,0.7420716049382716,0.00840237,Scaled Levy
0.9822913580246914,3.8649283950617286,0.00840237,Scaled Levy
3.6247086419753085,0.7420716049382716,0.00840237,Scaled Levy
3.6247086419753085,3.8649283950617286,0.00840237,Scaled Levy
3.8649283950617286,0.9822913580246914,0.00840237,Scaled Levy
3.8649283950617286,3.6247086419753085,0.00840237,Scaled Levy
0.8294242424242424,0.9932104377104377,0.03820463,Scaled Levy
0.8294242424242424,3.613789562289562,0.03820463,Scaled Levy
0.9932104377104377,0.8294242424242424,0.03820463,Scaled Levy
0.9932104377104377,3.7775757575757574,0.03820463,Scaled Levy
3.613789562289562,0.8294242424242424,0.03820463,Scaled Levy
3.613789562289562,3.7775757575757574,0.03820463,Scaled Levy
3.7775757575757574,0.9932104377104377,0.03820463,Scaled Levy
3.7775757575757574,3.613789562289562,0.03820463,Scaled Levy
0.8811461988304093,1.3552641325536063,0.00216366,Scaled Levy
0.8811461988304093,3.251735867446394,0.00216366,Scaled Levy
1.3552641325536063,0.8811461988304093,0.00216366,Scaled Levy
1.3552641325536063,3.7258538011695905,0.00216366,Scaled Levy
3.251735867446394,0.8811461988304093,0.00216366,Scaled Levy
3.251735867446394,3.7258538011695905,0.00216366,Scaled Levy
3.7258538011695905,1.3552641325536063,0.00216366,Scaled Levy
3.7258538011695905,3.251735867446394,0.00216366,Scaled Levy
0.9759697855750488,1.4500877192982455,0.00118065,Scaled Levy
0.9759697855750488,3.1569122807017544,0.00118065,Scaled Levy
1.4500877192982455,0.9759697855750488,0.00118065,Scaled Levy
1.4500877192982455,3.631030214424951,0.00118065,Scaled Levy
3.1569122807017544,0.9759697855750488,0.00118065,Scaled Levy
3.1569122807017544,3.631030214424951,0.00118065,Scaled Levy
3.631030214424951,1.4500877192982455,0.00118065,Scaled Levy
3.631030214424951,3.1569122807017544,0.00118065,Scaled Levy
0.9759697855750488,1.6397348927875244,0.01310026,Scaled Levy
0.9759697855750488,2.9672651072124756,0.01310026,Scaled Levy
1.6397348927875244,0.9759697855750488,0.01310026,Scaled Levy
1.6397348927875244,3.631030214424951,0.01310026,Scaled Levy
2.9672651072124756,0.9759697855750488,0.01310026,Scaled Levy
2.9672651072124756,3.631030214424951,0.01310026,Scaled Levy
3.631030214424951,1.6397348927875244,0.01310026,Scaled Levy
3.631030214424951,2.9672651072124756,0.01310026,Scaled Levy
0.9759697855750488,1.7345584795321638,0.03448845,Scaled Levy
0.9759697855750488,2.872441520467836,0.03448845,Scaled Levy
1.7345584795321638,0.9759697855750488,0.03448845,Scaled Levy
1.7345584795321638,3.631030214424951,0.03448845,Scaled Levy
2.872441520467836,0.9759697855750488,0.03448845,Scaled Levy
2.872441520467836,3.631030214424951,0.03448845,Scaled Levy
3.631030214424951,1.7345584795321638,0.03448845,Scaled Levy
3.631030214424951,2.872441520467836,0.03448845,Scaled Levy
0.9759697855750488,1.8293820662768032,0.00421289,Scaled Levy
0.9759697855750488,2.7776179337231968,0.00421289,Scaled Levy
